Product_Category,Region,Baseline_MAE,XGBoost_MAE,Improvement_%
Clothing & Accessories,Asia Pacific,551.5216666666666,405.6911333333333,26.44148764176687
Clothing & Accessories,Europe,533.125,554.3913358333334,-3.9889961703790693
Clothing & Accessories,Middle East & Africa,154.77833333333334,195.6321366666667,-26.39504021880756
Clothing & Accessories,North America,859.0433333333334,466.42643916666657,45.703968464920294
Clothing & Accessories,South America,209.04749999999999,239.30458499999997,-14.473784666164386
Furniture,Asia Pacific,1428.0624999999998,968.5615166666666,32.176531722759556
Furniture,Europe,2118.226666666667,1862.1107191666667,12.091054821013811
Furniture,Middle East & Africa,511.53916666666674,519.1320616666666,-1.4843232922861547
Furniture,North America,1944.405833333334,1638.9090308333334,15.711576115582886
Furniture,South America,492.4533333333334,862.0152625000001,-75.0450660299453
Office Supplies,Asia Pacific,152.92166666666668,104.54161416666666,31.637147014266574
Office Supplies,Europe,84.21749999999999,68.55871808333333,18.593263771385587
Office Supplies,Middle East & Africa,89.30999999999999,70.217103,21.378229761504866
Office Supplies,North America,62.116666666666674,113.78462833333333,-83.17890260262944
Office Supplies,South America,89.66833333333334,72.45616558333334,19.19536932399025
Technology,Asia Pacific,1305.865,997.6077008333333,23.605602352974213
Technology,Europe,1026.5616666666667,701.2501825,31.689424486595218
Technology,Middle East & Africa,425.91916666666674,299.50726916666673,29.679786070518073
Technology,North America,840.4408333333334,571.145075,32.04220305018498
Technology,South America,512.7733333333333,412.2545708333334,19.60296216001871
