month,total_sales,total_profit,order_count,avg_unit_price,avg_discount,total_quantity,month_num,quarter,year,time_idx,lag_1,lag_2,roll_mean_3,roll_std_3,cat_Clothing & Accessories,cat_Furniture,cat_Office Supplies,cat_Technology,reg_Asia Pacific,reg_Europe,reg_Middle East & Africa,reg_North America,reg_South America
2023-03-01,45.26,-2.66,2.0,19.61,7.5,3.0,3,1,2023,3,364.86,163.99,264.425,142.0365391369418,True,False,False,False,True,False,False,False,False
2023-04-01,566.78,201.4,5.0,54.004,4.0,12.0,4,2,2023,4,45.26,364.86,191.37,161.5496465486694,True,False,False,False,True,False,False,False,False
2023-05-01,372.36,120.2,2.0,66.05,15.0,9.0,5,2,2023,5,566.78,45.26,325.6333333333333,262.9635452554847,True,False,False,False,True,False,False,False,False
2023-06-01,452.3200000000001,155.05,4.0,29.3525,8.75,16.0,6,2,2023,6,372.36,566.78,328.1333333333333,263.557917986414,True,False,False,False,True,False,False,False,False
2023-07-01,0.0,0.0,0.0,55.09,0.0,0.0,7,3,2023,7,452.3200000000001,372.36,463.82,97.71883953465675,True,False,False,False,True,False,False,False,False
2023-08-01,363.8,90.52,3.0,39.20333333333333,15.0,10.0,8,3,2023,8,0.0,452.3200000000001,274.8933333333334,241.39834078413497,True,False,False,False,True,False,False,False,False
2023-09-01,568.62,196.73,3.0,46.59666666666666,15.0,12.0,9,3,2023,9,363.8,0.0,272.04,239.71497408380654,True,False,False,False,True,False,False,False,False
2023-10-01,66.02,15.12,1.0,82.52,20.0,1.0,10,4,2023,10,568.62,363.8,310.8066666666667,287.9902709004825,True,False,False,False,True,False,False,False,False
2023-11-01,49.64,2.07,2.0,26.345,5.0,2.0,11,4,2023,11,66.02,568.62,332.81333333333333,252.72874813391002,True,False,False,False,True,False,False,False,False
2023-12-01,1137.85,440.63,5.0,63.470000000000006,9.0,20.0,12,4,2023,12,49.64,66.02,228.09333333333328,295.0184471068434,True,False,False,False,True,False,False,False,False
2024-01-01,0.0,0.0,0.0,55.09,0.0,0.0,1,1,2024,13,1137.85,49.64,417.8366666666666,623.6036210874125,True,False,False,False,True,False,False,False,False
2024-02-01,982.98,381.91,3.0,63.906666666666666,13.333333333333334,19.0,2,1,2024,14,0.0,1137.85,395.8299999999999,643.0873134341866,True,False,False,False,True,False,False,False,False
2024-03-01,1226.29,522.8,4.0,68.37,10.0,23.0,3,1,2024,15,982.98,0.0,706.9433333333333,617.1084480327045,True,False,False,False,True,False,False,False,False
2024-04-01,1178.47,383.43,7.0,44.847142857142856,15.714285714285714,32.0,4,2,2024,16,1226.29,982.98,736.4233333333332,649.2606821865414,True,False,False,False,True,False,False,False,False
2024-05-01,1351.38,609.27,4.0,63.195,2.5,17.0,5,2,2024,17,1178.47,1226.29,1129.2466666666667,128.90749176573485,True,False,False,False,True,False,False,False,False
2024-06-01,298.16,92.63,3.0,43.63999999999999,8.333333333333334,7.0,6,2,2024,18,1351.38,1178.47,1252.0466666666666,89.28617716832173,True,False,False,False,True,False,False,False,False
2024-07-01,123.84,23.22,1.0,25.8,20.0,6.0,7,3,2024,19,298.16,1351.38,942.67,564.8179548314657,True,False,False,False,True,False,False,False,False
2024-08-01,324.59000000000003,118.05,3.0,33.56666666666666,5.0,10.0,8,3,2024,20,123.84,298.16,591.1266666666667,664.1428413627093,True,False,False,False,True,False,False,False,False
2024-09-01,389.6,159.92000000000002,2.0,41.56,0.0,9.0,9,3,2024,21,324.59000000000003,123.84,248.86333333333326,109.07686112706412,True,False,False,False,True,False,False,False,False
2024-10-01,447.44,135.07,6.0,41.10666666666667,7.5,13.0,10,4,2024,22,389.6,324.59000000000003,279.34333333333325,138.53714315421996,True,False,False,False,True,False,False,False,False
2024-11-01,692.06,262.32,3.0,71.05,11.666666666666666,10.0,11,4,2024,23,447.44,389.6,387.20999999999987,61.45986251204531,True,False,False,False,True,False,False,False,False
2024-12-01,343.63,153.66,1.0,49.09,0.0,7.0,12,4,2024,24,692.06,447.44,509.6999999999999,160.5544879472371,True,False,False,False,True,False,False,False,False
2025-01-01,53.14,11.55,1.0,31.26,15.0,2.0,1,1,2025,25,343.63,692.06,494.37666666666655,178.89425433292385,True,False,False,False,True,False,False,False,False
2025-02-01,423.92,139.23000000000002,4.0,42.715,6.25,11.0,2,1,2025,26,53.14,343.63,362.9433333333332,319.89755427844847,True,False,False,False,True,False,False,False,False
2025-03-01,61.85,19.77,1.0,61.85,0.0,1.0,3,1,2025,27,423.92,53.14,273.5633333333333,195.06782264979762,True,False,False,False,True,False,False,False,False
2025-04-01,1643.43,757.84,4.0,60.93,2.5,16.0,4,2,2025,28,61.85,423.92,179.63666666666657,211.6003928005166,True,False,False,False,True,False,False,False,False
2025-05-01,147.53,49.18,1.0,40.98,10.0,4.0,5,2,2025,29,1643.43,61.85,709.7333333333332,828.6228154192551,True,False,False,False,True,False,False,False,False
2025-06-01,96.82,27.69,1.0,17.93,10.0,6.0,6,2,2025,30,147.53,1643.43,617.6033333333332,889.42426778975,True,False,False,False,True,False,False,False,False
2025-07-01,732.12,240.58,6.0,58.60833333333334,10.833333333333334,16.0,7,3,2025,31,96.82,147.53,629.2599999999999,878.6628862652614,True,False,False,False,True,False,False,False,False
2025-08-01,126.22,44.14,1.0,35.06,10.0,4.0,8,3,2025,32,732.12,96.82,325.48999999999995,353.0635122750578,True,False,False,False,True,False,False,False,False
2025-09-01,123.14,31.950000000000003,2.0,61.585,15.0,3.0,9,3,2025,33,126.22,732.12,318.3866666666666,358.6049962470311,True,False,False,False,True,False,False,False,False
2025-10-01,426.56,159.65000000000003,3.0,35.663333333333334,5.0,12.0,10,4,2025,34,123.14,126.22,327.1599999999999,350.70902868332297,True,False,False,False,True,False,False,False,False
2025-11-01,1062.21,473.89,3.0,81.93,5.0,11.0,11,4,2025,35,426.56,123.14,225.30666666666662,174.29730271387814,True,False,False,False,True,False,False,False,False
2025-12-01,778.83,295.37,3.0,47.59666666666666,6.666666666666667,19.0,12,4,2025,36,1062.21,426.56,537.3033333333333,479.2297785335685,True,False,False,False,True,False,False,False,False
2023-03-01,514.15,201.69,3.0,63.02666666666666,8.333333333333334,9.0,3,1,2023,3,356.3,26.5,191.4,233.20381643532338,True,False,False,False,False,True,False,False,False
2023-04-01,173.2,69.84,1.0,45.58,5.0,4.0,4,2,2023,4,514.15,356.3,298.98333333333335,248.82630655405657,True,False,False,False,False,True,False,False,False
2023-05-01,275.25,93.48,3.0,46.17333333333334,8.333333333333334,7.0,5,2,2023,5,173.2,514.15,347.88333333333327,170.63075875507712,True,False,False,False,False,True,False,False,False
2023-06-01,175.88,52.120000000000005,2.0,37.58,10.0,5.0,6,2,2023,6,275.25,173.2,320.8666666666666,174.99253079298364,True,False,False,False,False,True,False,False,False
2023-07-01,592.16,204.75,4.0,30.6925,10.0,21.0,7,3,2023,7,175.88,275.25,208.10999999999999,58.16038428346205,True,False,False,False,False,True,False,False,False
2023-08-01,656.26,231.16,3.0,53.53333333333333,11.666666666666666,15.0,8,3,2023,8,592.16,175.88,347.76333333333326,217.40721522832064,True,False,False,False,False,True,False,False,False
2023-09-01,171.97,48.3,2.0,28.685,12.5,6.0,9,3,2023,9,656.26,592.16,474.7666666666666,260.82011451062084,True,False,False,False,False,True,False,False,False
2023-10-01,963.32,328.21,5.0,55.446000000000005,10.0,19.0,10,4,2023,10,171.97,656.26,473.4633333333332,263.06059194287036,True,False,False,False,False,True,False,False,False
2023-11-01,14.93,-1.44,1.0,15.72,5.0,1.0,11,4,2023,11,963.32,171.97,597.1833333333333,398.96897753250613,True,False,False,False,False,True,False,False,False
2023-12-01,110.59,31.11,1.0,43.37,15.0,3.0,12,4,2023,12,14.93,963.32,383.4066666666666,508.32076097021,True,False,False,False,False,True,False,False,False
2024-01-01,340.49,108.97,3.0,49.15333333333333,10.0,8.0,1,1,2024,13,110.59,14.93,362.94666666666666,522.1339037386228,True,False,False,False,False,True,False,False,False
2024-02-01,652.8,263.5,4.0,50.8025,5.0,14.0,2,1,2024,14,340.49,110.59,155.3366666666666,167.32909649350682,True,False,False,False,False,True,False,False,False
2024-03-01,19.9,-0.53,1.0,24.87,20.0,1.0,3,1,2024,15,652.8,340.49,367.95999999999987,272.1467833725028,True,False,False,False,False,True,False,False,False
