month,total_sales,total_profit,order_count,avg_unit_price,avg_discount,total_quantity,month_num,quarter,year,time_idx,lag_1,lag_2,lag_3,lag_6,lag_12,roll_mean_3,roll_std_3,roll_mean_6,roll_std_6,roll_mean_12,roll_std_12,roll_max_3,roll_max_6,cat_Clothing & Accessories,cat_Furniture,cat_Office Supplies,cat_Technology,reg_Asia Pacific,reg_Europe,reg_Middle East & Africa,reg_North America,reg_South America
2024-01-01,0.0,0.0,0.0,55.31999999999999,0.0,0.0,1,1,2024,12,1137.85,49.64,66.02,0.0,163.99,417.8366666666666,623.6036210874125,364.32166666666666,438.36580069237453,345.9583333333333,322.98430073959076,1137.85,1137.85,True,False,False,False,True,False,False,False,False
2024-02-01,982.98,381.91,3.0,63.906666666666666,13.333333333333334,19.0,2,1,2024,13,0.0,1137.85,49.64,363.8,364.86,395.8299999999999,643.0873134341866,364.32166666666666,438.36580069237453,332.2925,334.64242487996864,1137.85,1137.85,True,False,False,False,True,False,False,False,False
2024-03-01,1226.29,522.8,4.0,68.37,10.0,23.0,3,1,2024,14,982.98,0.0,1137.85,568.62,45.26,706.9433333333333,617.1084480327045,467.51833333333326,505.89789983421224,383.8025,384.03779373969763,1137.85,1137.85,True,False,False,False,True,False,False,False,False
2024-04-01,1178.47,383.43,7.0,44.847142857142856,15.714285714285714,32.0,4,2,2024,15,1226.29,982.98,0.0,66.02,566.78,736.4233333333332,649.2606821865414,577.13,595.4977775945096,482.22166666666664,437.06390963571965,1226.29,1226.29,True,False,False,False,True,False,False,False,False
2024-05-01,1351.38,609.27,4.0,63.195,2.5,17.0,5,2,2024,16,1178.47,1226.29,982.98,49.64,372.36,1129.2466666666667,128.90749176573485,762.5383333333333,577.4438290748864,533.1958333333333,481.2582669034151,1226.29,1226.29,True,False,False,False,True,False,False,False,False
2024-06-01,298.16,92.63,3.0,43.63999999999999,8.333333333333334,7.0,6,2,2024,17,1351.38,1178.47,1226.29,1137.85,452.3200000000001,1252.0466666666666,89.28617716832173,979.4949999999999,494.63040386737237,614.7808333333334,531.8397342921734,1351.38,1351.38,True,False,False,False,True,False,False,False,False
2024-07-01,123.84,23.22,1.0,25.8,20.0,6.0,7,3,2024,18,298.16,1351.38,1178.47,0.0,0.0,942.67,564.8179548314657,839.5466666666667,555.8640197626273,601.9341666666667,537.9475574551572,1351.38,1351.38,True,False,False,False,True,False,False,False,False
2024-08-01,324.59000000000003,118.05,3.0,33.56666666666666,5.0,10.0,8,3,2024,19,123.84,298.16,1351.38,982.98,363.8,591.1266666666667,664.1428413627093,860.1866666666668,519.5700938147485,612.2541666666667,526.4145085293067,1351.38,1351.38,True,False,False,False,True,False,False,False,False
2024-09-01,389.6,159.92000000000002,2.0,41.56,0.0,9.0,9,3,2024,20,324.59000000000003,123.84,298.16,1226.29,568.62,248.86333333333326,109.07686112706412,750.4549999999999,556.6515546641363,608.9866666666667,528.21549182702,324.59000000000003,1351.38,True,False,False,False,True,False,False,False,False
2024-10-01,447.44,135.07,6.0,41.10666666666667,7.5,13.0,10,4,2024,21,389.6,324.59000000000003,123.84,1178.47,66.02,279.34333333333325,138.53714315421996,611.0066666666667,516.9965424126806,594.0683333333333,531.9738566343502,389.6,1351.38,True,False,False,False,True,False,False,False,False
2024-11-01,692.06,262.32,3.0,71.05,11.666666666666666,10.0,11,4,2024,22,447.44,389.6,324.59000000000003,1351.38,49.64,387.20999999999987,61.45986251204531,489.16833333333335,436.3711877022435,625.8533333333334,508.4289006042997,447.44,1351.38,True,False,False,False,True,False,False,False,False
2024-12-01,343.63,153.66,1.0,49.09,0.0,7.0,12,4,2024,23,692.06,447.44,389.6,298.16,1137.85,509.6999999999999,160.5544879472371,379.2816666666667,188.36382905607604,679.3883333333333,474.96114474254784,692.06,692.06,True,False,False,False,True,False,False,False,False
2025-01-01,53.14,11.55,1.0,31.26,15.0,2.0,1,1,2025,24,343.63,692.06,447.44,123.84,0.0,494.37666666666655,178.89425433292385,386.85999999999996,185.33774046318783,613.2033333333333,460.3802861930031,692.06,692.06,True,False,False,False,True,False,False,False,False
2025-02-01,423.92,139.23000000000002,4.0,42.715,6.25,11.0,2,1,2025,25,53.14,343.63,692.06,324.59000000000003,982.98,362.9433333333332,319.89755427844847,375.07666666666665,206.4494255421086,617.6316666666668,454.15930072314194,692.06,692.06,True,False,False,False,True,False,False,False,False
2025-03-01,61.85,19.77,1.0,61.85,0.0,1.0,3,1,2025,26,423.92,53.14,343.63,389.6,1226.29,273.5633333333333,195.06782264979762,391.63166666666666,205.57197575707306,571.0433333333334,441.78012900975835,423.92,692.06,True,False,False,False,True,False,False,False,False
2025-04-01,1643.43,757.84,4.0,60.93,2.5,16.0,4,2,2025,27,61.85,423.92,53.14,447.44,1178.47,179.63666666666657,211.6003928005166,337.00666666666666,245.82419015765444,474.00666666666666,411.6267933088138,423.92,692.06,True,False,False,False,True,False,False,False,False
2025-05-01,147.53,49.18,1.0,40.98,10.0,4.0,5,2,2025,28,1643.43,61.85,423.92,692.06,1351.38,709.7333333333332,828.6228154192551,536.3383333333333,593.0084969177647,512.7533333333333,496.9973002548465,1643.43,1643.43,True,False,False,False,True,False,False,False,False
2025-06-01,96.82,27.69,1.0,17.93,10.0,6.0,6,2,2025,29,147.53,1643.43,61.85,343.63,298.16,617.6033333333332,889.42426778975,445.5833333333333,605.9371666325367,412.43249999999995,429.20557090184866,1643.43,1643.43,True,False,False,False,True,False,False,False,False
