month,Product_Category,Region,actual,xgb_pred,xgb_error
2025-11-01,Furniture,Europe,6022.43,1403.4723,4618.957700000001
2025-06-01,Furniture,North America,7334.84,2923.1355,4411.7045
2025-08-01,Technology,Europe,4162.360000000001,392.82706,3769.5329400000005
2025-05-01,Furniture,Europe,4824.52,1080.524,3743.9960000000005
2025-07-01,Furniture,Europe,4425.33,753.9634,3671.3666
2025-06-01,Technology,Asia Pacific,3383.84,617.44916,2766.39084
2025-04-01,Furniture,North America,3814.24,1210.4076,2603.8324
2025-03-01,Furniture,North America,0.0,2378.5894,2378.5894
2025-10-01,Clothing & Accessories,North America,2662.89,293.39188,2369.4981199999997
2025-06-01,Furniture,Europe,2670.72,315.18536,2355.53464
