month,Product_Category,Region,actual,baseline_pred,xgb_pred,xgb_error,absolute_error
2025-11-01,Furniture,Europe,6022.43,2901.77,1795.6575,4226.7725,4226.7725
2025-08-01,Technology,Europe,4162.360000000001,40.3,524.65607,3637.7039300000006,3637.7039300000006
2025-05-01,Furniture,Europe,4824.52,3337.31,1193.7412,3630.7788000000005,3630.7788000000005
2025-07-01,Furniture,Europe,4425.33,2670.72,972.3532,3452.9768,3452.9768
2025-11-01,Furniture,North America,471.83,1540.2800000000002,2880.9912,-2409.1612,2409.1612
2025-01-01,Furniture,North America,3246.02,3575.3700000000003,903.4522,2342.5678,2342.5678
2025-09-01,Furniture,Europe,3618.11,378.73,1403.5983,2214.5117,2214.5117
2025-10-01,Clothing & Accessories,North America,2662.89,152.25,466.9926,2195.8974,2195.8974
2025-06-01,Furniture,Europe,2670.72,4824.52,612.0237,2058.6962999999996,2058.6962999999996
2025-10-01,Furniture,North America,1540.2800000000002,1263.49,3394.3618,-1854.0818,1854.0818
