month,Product_Category,Region,total_sales,total_profit,order_count,avg_unit_price,avg_discount,total_quantity
2023-01-01,Clothing & Accessories,Asia Pacific,163.99,32.33,2,35.120000000000005,15.0,6
2023-01-01,Clothing & Accessories,Europe,26.5,3.62,1,27.9,5.0,1
2023-01-01,Clothing & Accessories,Middle East & Africa,185.18,55.56,1,57.87,20.0,4
2023-01-01,Clothing & Accessories,North America,214.4,98.68,1,53.6,0.0,4
2023-01-01,Clothing & Accessories,South America,264.48,69.62,4,49.91,6.25,6
2023-01-01,Furniture,Asia Pacific,3242.8199999999997,1146.0100000000002,4,319.38,5.0,10
2023-01-01,Furniture,Europe,1058.14,253.44,1,330.67,20.0,4
2023-01-01,Furniture,Middle East & Africa,1394.52,417.73,3,209.83333333333334,6.666666666666667,6
2023-01-01,Furniture,North America,2277.65,765.4,4,132.32,6.25,16
2023-01-01,Office Supplies,Asia Pacific,118.01,28.15,2,14.47,7.5,9
2023-01-01,Office Supplies,Europe,222.55,35.010000000000005,6,11.058333333333332,6.666666666666667,20
2023-01-01,Office Supplies,Middle East & Africa,105.69,-0.2100000000000004,3,10.22,10.0,12
2023-01-01,Office Supplies,North America,113.16,36.95,3,14.126666666666665,3.3333333333333335,8
2023-01-01,Office Supplies,South America,37.16,-5.87,1,9.91,25.0,5
2023-01-01,Technology,Asia Pacific,99.69,27.3,1,34.98,5.0,3
2023-01-01,Technology,Europe,462.4,118.89,3,69.50666666666667,15.0,7
2023-01-01,Technology,Middle East & Africa,61.04,9.36,1,33.91,10.0,2
2023-01-01,Technology,North America,690.64,273.73,4,88.9225,1.25,9
2023-01-01,Technology,South America,537.18,207.31,2,75.12,5.0,6
2023-02-01,Clothing & Accessories,Asia Pacific,364.86,96.42,5,47.61,9.0,8
2023-02-01,Clothing & Accessories,Europe,356.3,127.36,3,35.376666666666665,3.3333333333333335,10
2023-02-01,Clothing & Accessories,Middle East & Africa,582.24,175.12,2,57.864999999999995,15.0,11
2023-02-01,Clothing & Accessories,North America,253.97,105.12,2,40.325,7.5,6
2023-02-01,Clothing & Accessories,South America,1468.85,581.85,2,82.065,10.0,22
2023-02-01,Furniture,Asia Pacific,377.47999999999996,117.39,2,57.275,7.5,7
2023-02-01,Furniture,Europe,1815.6499999999999,675.82,3,132.72,1.6666666666666667,16
2023-02-01,Furniture,North America,5300.34,1922.83,5,207.968,5.0,24
2023-02-01,Furniture,South America,2085.91,678.86,1,289.71,10.0,8
2023-02-01,Office Supplies,Asia Pacific,213.01,30.17,4,9.54,8.75,28
2023-02-01,Office Supplies,Europe,56.540000000000006,6.98,2,7.6,7.5,8
2023-02-01,Office Supplies,North America,58.019999999999996,1.2399999999999998,3,5.523333333333333,11.666666666666666,12
2023-02-01,Office Supplies,South America,69.46,7.200000000000001,2,6.01,5.0,10
2023-02-01,Technology,Asia Pacific,857.26,310.57,4,152.48000000000002,6.25,7
2023-02-01,Technology,Europe,1266.36,479.92999999999995,3,60.23666666666667,8.333333333333334,19
2023-02-01,Technology,Middle East & Africa,48.95,9.71,1,48.95,0.0,1
2023-02-01,Technology,North America,1114.08,436.64,6,68.24333333333334,2.5,17
2023-02-01,Technology,South America,654.39,216.85,2,70.11,7.5,10
2023-03-01,Clothing & Accessories,Asia Pacific,45.26,-2.66,2,19.61,7.5,3
2023-03-01,Clothing & Accessories,Europe,514.15,201.69,3,63.026666666666664,8.333333333333334,9
2023-03-01,Clothing & Accessories,Middle East & Africa,394.05,160.42000000000002,2,50.415,0.0,9
2023-03-01,Clothing & Accessories,North America,370.97,145.32999999999998,2,42.815,5.0,11
2023-03-01,Clothing & Accessories,South America,275.31,107.7,1,61.18,10.0,5
2023-03-01,Furniture,Asia Pacific,4841.03,1724.8799999999999,4,192.4025,6.25,18
2023-03-01,Furniture,Europe,969.6800000000001,260.17,2,191.895,17.5,6
2023-03-01,Furniture,Middle East & Africa,486.21000000000004,152.70000000000002,2,77.485,2.5,7
2023-03-01,Furniture,North America,437.45,130.86,2,72.0,5.0,12
2023-03-01,Furniture,South America,1210.4,423.33,3,174.39666666666668,1.6666666666666667,11
2023-03-01,Office Supplies,Asia Pacific,184.77,35.459999999999994,5,14.65,8.0,13
2023-03-01,Office Supplies,Europe,82.24000000000001,8.95,3,11.543333333333331,11.666666666666666,8
2023-03-01,Office Supplies,Middle East & Africa,90.68,35.55,1,22.67,0.0,4
2023-03-01,Office Supplies,North America,281.89,88.19,6,10.17,4.166666666666667,22
2023-03-01,Technology,Asia Pacific,1405.11,558.34,4,154.45749999999998,3.75,9
2023-03-01,Technology,Europe,906.3299999999999,321.19,3,73.56666666666666,8.333333333333334,11
2023-03-01,Technology,Middle East & Africa,1197.35,468.49,2,162.115,5.0,8
2023-03-01,Technology,North America,1226.18,433.89,3,86.17333333333333,8.333333333333334,15
2023-03-01,Technology,South America,1137.39,464.29,1,239.45,5.0,5
2023-04-01,Clothing & Accessories,Asia Pacific,566.78,201.4,5,54.004,4.0,12
2023-04-01,Clothing & Accessories,Europe,173.2,69.84,1,45.58,5.0,4
2023-04-01,Clothing & Accessories,Middle East & Africa,40.72,7.15,1,42.86,5.0,1
2023-04-01,Clothing & Accessories,North America,79.15,15.28,1,37.69,30.0,3
2023-04-01,Furniture,Asia Pacific,616.41,191.95,3,97.12666666666667,6.666666666666667,7
